t,side,score,ts_4h,ts_1d,fwd_1d,absraw_1d,fwd_3d,absraw_3d,fwd_7d,absraw_7d,fwd_14d,absraw_14d
1721678400000,long,85.0,1.5336828674632297,1.1799192865008197,-0.03355492802210954,-0.03355492802210954,-0.04145979356009714,-0.04145979356009714,-0.01101805798467785,-0.01101805798467785,-0.20150578657303592,-0.20150578657303592
1721952000000,long,66.66666666666666,1.1445086804665596,1.7275572530984256,0.022666847531199043,0.022666847531199043,0.03562126966901782,0.03562126966901782,-0.022110689093868693,-0.022110689093868693,-0.07780340025321032,-0.07780340025321032
1721966400000,long,66.66666666666666,1.1488981873050181,1.7275572530984256,0.011839791423981593,0.011839791423981593,0.03477957374961016,0.03477957374961016,-0.03785660697053186,-0.03785660697053186,-0.09484809478992506,-0.09484809478992506
1721980800000,long,66.66666666666666,1.0344285365206802,1.7275572530984256,0.013382553777708951,0.013382553777708951,0.03556455412360388,0.03556455412360388,-0.03743417560725419,-0.03743417560725419,-0.08955844728979423,-0.08955844728979423
1722081600000,long,100.0,1.1944739511247313,1.824122780318338,-0.005704233796086522,-0.005704233796086522,-0.0257034149365823,-0.0257034149365823,-0.09394073211888672,-0.09394073211888672,-0.11241478743284625,-0.11241478743284625
1722096000000,long,100.0,1.2859767064907839,1.824122780318338,-0.014451511051626727,-0.014451511051626727,-0.036530006218679086,-0.036530006218679086,-0.1132775351311676,-0.1132775351311676,-0.11669999315508403,-0.11669999315508403
1722182400000,long,75.0,1.3531231561997463,2.0053942641371125,-0.01125579635830578,-0.01125579635830578,-0.01978224312047259,-0.01978224312047259,-0.13341746488197456,-0.13341746488197456,-0.11117333955946203,-0.11117333955946203
1722196800000,long,80.0,1.4039242400182317,2.0053942641371125,-0.009814083761550846,-0.009814083761550846,-0.050630380286556524,-0.050630380286556524,-0.13071036323136973,-0.13071036323136973,-0.14019951627961683,-0.14019951627961683
1722211200000,long,75.0,1.3652559288061468,1.858731332011106,-0.030946829783703934,-0.030946829783703934,-0.059393346664454415,-0.059393346664454415,-0.18331455915612252,-0.18331455915612252,-0.1496491120832932,-0.1496491120832932
1722225600000,long,85.0,1.3915921309657466,1.858731332011106,-0.037666716154800765,-0.037666716154800765,-0.08166551114275786,-0.08166551114275786,-0.22900994423215787,-0.22900994423215787,-0.15677985035364791,-0.15677985035364791
1722240000000,long,85.0,1.4952521872857822,1.858731332011106,-0.039272767061438785,-0.039272767061438785,-0.0717601190938959,-0.0717601190938959,-0.2409707765002635,-0.2409707765002635,-0.16074508550515565,-0.16074508550515565
1722268800000,long,65.0,1.1279376118856927,1.858731332011106,-0.011273335415729507,-0.011273335415729507,-0.060463218557437595,-0.060463218557437595,-0.1928423362093317,-0.1928423362093317,-0.10950065834604945,-0.10950065834604945
1727424000000,long,75.0,1.0233785987666835,1.5935418051619052,-0.001546124265172353,-0.001546124265172353,-0.021530084747697107,-0.021530084747697107,-0.06540136077196641,-0.06540136077196641,-0.07731534391373356,-0.07731534391373356
1727438400000,long,73.33333333333333,1.2290557468570797,1.5935418051619052,-0.0026968453605736597,-0.0026968453605736597,-0.02558654864670713,-0.02558654864670713,-0.05792129838189272,-0.05792129838189272,-0.06614728550034693,-0.06614728550034693
1727452800000,long,75.0,1.4019421939710501,1.5935418051619052,-0.011916293245221005,-0.011916293245221005,-0.04244632538209694,-0.04244632538209694,-0.06126978379275489,-0.06126978379275489,-0.06081866051087071,-0.06081866051087071
1727467200000,long,71.66666666666667,1.6052178296118862,1.5935418051619052,-0.0021776122603221655,-0.0021776122603221655,-0.030085112400984923,-0.030085112400984923,-0.051360931628753714,-0.051360931628753714,-0.042306809144146765,-0.042306809144146765
1727481600000,long,70.0,1.7281741533283304,1.825668216438223,-0.003154689070323195,-0.003154689070323195,-0.035984405694836144,-0.035984405694836144,-0.05656579151118412,-0.05656579151118412,-0.04635631894240491,-0.04635631894240491
1727496000000,long,75.0,1.76122689341241,1.825668216438223,-0.004049178116859358,-0.004049178116859358,-0.032805616719226105,-0.032805616719226105,-0.06171662724072453,-0.06171662724072453,-0.051905856608782976,-0.051905856608782976
1727510400000,long,66.66666666666666,1.8565309823689942,1.825668216438223,-0.001205588688499443,-0.001205588688499443,-0.025939208457105713,-0.025939208457105713,-0.05305352295571951,-0.05305352295571951,-0.04442998212192763,-0.04442998212192763
1727625600000,long,60.0,1.663865903029605,2.0206975893458305,-0.03477156588392753,-0.03477156588392753,-0.060547207689499914,-0.060547207689499914,-0.048457841586567664,-0.048457841586567664,-0.04793922618323395,-0.04793922618323395
1729396800000,long,60.0,1.5142170982661065,1.3165910085967871,0.011952886134652084,0.011952886134652084,-0.014918022695093716,-0.014918022695093716,-0.01607007278728691,-0.01607007278728691,0.005187156840041051,0.005187156840041051
1729411200000,long,60.0,1.4446452535491472,1.3165910085967871,-0.0012211530024276813,-0.0012211530024276813,-0.027302641200386005,-0.027302641200386005,-0.01724385036122738,-0.01724385036122738,0.0013454619906987627,0.0013454619906987627
1729425600000,long,63.33333333333333,1.3469169303083885,1.3165910085967871,-0.0004351948046238655,-0.0004351948046238655,-0.027067065424285584,-0.027067065424285584,-0.012712963383559098,-0.012712963383559098,0.0034288075515823066,0.0034288075515823066
1729440000000,long,75.0,1.2947307470618536,1.3165910085967871,-0.01667540272243734,-0.01667540272243734,-0.03822742264940497,-0.03822742264940497,-0.00987295974162706,-0.00987295974162706,-0.005091246764131044,-0.005091246764131044
1729454400000,long,75.0,1.1752740684514993,1.3165910085967871,-0.014706224549156445,-0.014706224549156445,-0.03030104712041885,-0.03030104712041885,-0.014863292611983712,-0.014863292611983712,0.0027995927865037814,0.0027995927865037814
1729468800000,long,75.0,1.11789205601077,1.3939673144463056,-0.02932327022201025,-0.02932327022201025,-0.024820895414488814,-0.024820895414488814,-0.019274617392121652,-0.019274617392121652,-0.006733320320689339,-0.006733320320689339
1729483200000,long,75.0,1.0084926938644678,1.3939673144463056,-0.022338673584225227,-0.022338673584225227,-0.02414917361536583,-0.02414917361536583,-0.01925502993118643,-0.01925502993118643,0.0014208804244392277,0.0014208804244392277
1730145600000,long,75.0,1.0839897541262054,1.4463162888011432,0.03883626211389209,0.03883626211389209,0.006323351160693298,0.006323351160693298,-0.0326579617066011,-0.0326579617066011,0.24781705796860004,0.24781705796860004
1730160000000,long,75.0,1.2928487711104224,1.4469030927009936,0.03389055056417521,0.03389055056417521,0.0036787203257519414,0.0036787203257519414,-0.027435275682414897,-0.027435275682414897,0.27355639179443775,0.27355639179443775
1730174400000,long,75.0,1.5574995342485818,1.4469030927009936,0.01725331210137323,0.01725331210137323,-0.020618165142260655,-0.020618165142260655,-0.03904889446571717,-0.03904889446571717,0.24529244117837382,0.24529244117837382
1730188800000,long,75.0,1.8494870088727704,1.4469030927009936,0.015962942917190914,0.015962942917190914,-0.024493382161710067,-0.024493382161710067,-0.029454476442182617,-0.029454476442182617,0.257900988985499,0.257900988985499
1730203200000,long,71.66666666666667,2.0538350650022617,1.4469030927009936,0.010913708439034626,0.010913708439034626,-0.010429967206844335,-0.010429967206844335,-0.031490991725774894,-0.031490991725774894,0.21553624965547505,0.21553624965547505
1730217600000,long,75.0,2.32853340777923,1.4469030927009936,-0.008595850677165368,-0.008595850677165368,-0.03868751409043154,-0.03868751409043154,-0.03552163465503874,-0.03552163465503874,0.19777879809304913,0.19777879809304913
1730232000000,long,73.33333333333333,2.5866128560418447,1.4469030927009936,0.007993364208197927,0.007993364208197927,-0.04264878689431119,-0.04264878689431119,-0.04029169834796433,-0.04029169834796433,0.2378641045137208,0.2378641045137208
1730246400000,long,71.66666666666667,2.8387452157334248,1.5089806083105135,-0.00145754855268463,-0.00145754855268463,-0.036615721610992226,-0.036615721610992226,-0.017191881980053395,-0.017191881980053395,0.21824922697377525,0.21824922697377525
1730260800000,long,70.0,3.1953067023581143,1.5089806083105135,-0.00019774788665592987,-0.00019774788665592987,-0.038015994070329184,-0.038015994070329184,0.027413665070394017,0.027413665070394017,0.2058527843040725,0.2058527843040725
1730275200000,long,66.66666666666666,3.375332715468769,1.5089806083105135,0.000415115748107764,0.000415115748107764,-0.036618743859746145,-0.036618743859746145,0.01695471087188148,0.01695471087188148,0.2076063042244946,0.2076063042244946
1730289600000,long,66.66666666666666,3.447285658830586,1.5089806083105135,0.003285643739958367,0.003285643739958367,-0.0340513433998483,-0.0340513433998483,0.03237930962532251,0.03237930962532251,0.21959284169234297,0.21959284169234297
1730347200000,long,63.33333333333333,3.4220552619925426,1.5339545784426476,-0.037038727524204625,-0.037038727524204625,-0.05145089903181181,-0.05145089903181181,0.03421991701244821,0.03421991701244821,0.24733195020746895,0.24733195020746895
1730707200000,long,60.0,1.7936311794000952,1.6561297496909049,0.005189140079118498,0.005189140079118498,0.09499591595456737,0.09499591595456737,0.183665565454654,0.183665565454654,0.3380774265126621,0.3380774265126621
1730908800000,long,100.0,1.3452841763373011,1.5125320745768978,0.02147573907346949,0.02147573907346949,0.023590356162319692,0.023590356162319692,0.2419568548164709,0.2419568548164709,0.26581086552676436,0.26581086552676436
1730923200000,long,100.0,1.7199637296737063,1.5125320745768978,0.004521076018720301,0.004521076018720301,0.0025594466970261924,0.0025594466970261924,0.1788800975427736,0.1788800975427736,0.23872621540871,0.23872621540871
1730937600000,long,98.33333333333333,2.071723146768031,1.5822109004960594,0.00881132072968663,0.00881132072968663,0.020135234272084388,0.020135234272084388,0.1962064358990345,0.1962064358990345,0.2571454345498757,0.2571454345498757
1730952000000,long,96.66666666666667,2.4376221626329158,1.5822109004960594,0.014654806945185408,0.014654806945185408,0.060248134046414464,0.060248134046414464,0.20606065469193208,0.20606065469193208,0.3061367505593513,0.3061367505593513
1730966400000,long,91.66666666666666,2.8732041608790952,1.5822109004960594,0.008503265679516637,0.008503265679516637,0.052800027657220784,0.052800027657220784,0.20517668709046047,0.20517668709046047,0.2920403050804187,0.2920403050804187
1730980800000,long,91.66666666666666,3.189901701476621,1.5822109004960594,0.014146933009954636,0.014146933009954636,0.06230860462946918,0.06230860462946918,0.21666822137231648,0.21666822137231648,0.29745205954078446,0.29745205954078446
1730995200000,long,95.0,3.229879037170088,1.5822109004960594,9.613333298219967e-05,9.613333298219967e-05,0.051385241821423774,0.051385241821423774,0.1748270258453807,0.1748270258453807,0.2802220811681385,0.2802220811681385
1731009600000,long,100.0,3.2673618306154038,1.5822109004960594,0.0017147498571040644,0.0017147498571040644,0.03340165301363032,0.03340165301363032,0.14605980304574098,0.14605980304574098,0.2840925886444581,0.2840925886444581
1731024000000,long,96.66666666666667,3.3557062535012028,1.6114323079005712,0.0051969570448881525,0.0051969570448881525,0.060431720900262345,0.060431720900262345,0.15601654294524914,0.15601654294524914,0.28954493750369853,0.28954493750369853
1731038400000,long,96.66666666666667,3.4936188774289842,1.6114323079005712,0.006783981526270783,0.006783981526270783,0.0742244289237235,0.0742244289237235,0.1529064886074715,0.1529064886074715,0.3032823293559106,0.3032823293559106
